manifest_join_key,run_id,db_run_created_at,dataset,task_type,model_type,hf_model_id,dataset_name,hf_task,run_regime,registry_task,variant_index,split_variant_index,hf_url,train_split,test_split,round,client_id,participated_flag,fail_reason_category,reason_or_error,manifest_lookup_note
run_id=56c8c992-5c78-4621-bf2a-b64b153233bb,56c8c992-5c78-4621-bf2a-b64b153233bb,2026-04-17 09:40:34,hf,segmentation,hf_finetune,nvidia/segformer-b0-finetuned-ade-512-512,zhoubolei/scene_parse_150,image_segmentation,finetune_transfer,image_segmentation,1,1,https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512,train[:80%],train[80%:],1,client_1,0,oom,"OutOfMemoryError('HIP out of memory. Tried to allocate 24.79 GiB. GPU 0 has a total capacity of 15.92 GiB of which 0 bytes is free. Of the allocated memory 3.15 GiB is allocated by PyTorch, and 593.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",Find this run_id in outputs/run_manifest_results.csv: 56c8c992-5c78-4621-bf2a-b64b153233bb
run_id=2a62038c-c730-4801-90e8-7f669668ff44,2a62038c-c730-4801-90e8-7f669668ff44,2026-04-17 09:40:01,hf,segmentation,hf,nvidia/segformer-b2-finetuned-ade-512-512,zhoubolei/scene_parse_150,image_segmentation,inference_only,image_segmentation,0,0,https://huggingface.co/nvidia/segformer-b2-finetuned-ade-512-512,train,validation,1,client_1,0,oom,"OutOfMemoryError('HIP out of memory. Tried to allocate 24.79 GiB. GPU 0 has a total capacity of 15.92 GiB of which 0 bytes is free. Of the allocated memory 3.10 GiB is allocated by PyTorch, and 580.62 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",Find this run_id in outputs/run_manifest_results.csv: 2a62038c-c730-4801-90e8-7f669668ff44
run_id=c2e89301-88e1-401b-9f69-e749f518039c,c2e89301-88e1-401b-9f69-e749f518039c,2026-04-17 09:39:43,hf,segmentation,hf,nvidia/segformer-b0-finetuned-ade-512-512,zhoubolei/scene_parse_150,image_segmentation,inference_only,image_segmentation,0,0,https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512,train,validation,1,client_1,0,oom,"OutOfMemoryError('HIP out of memory. Tried to allocate 24.79 GiB. GPU 0 has a total capacity of 15.92 GiB of which 0 bytes is free. Of the allocated memory 2.99 GiB is allocated by PyTorch, and 658.38 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",Find this run_id in outputs/run_manifest_results.csv: c2e89301-88e1-401b-9f69-e749f518039c
run_id=24121123-e827-4d07-a241-f40cd716ecbb,24121123-e827-4d07-a241-f40cd716ecbb,2026-04-17 09:39:26,hf,segmentation,hf_finetune,nvidia/segformer-b0-finetuned-ade-512-512,zhoubolei/scene_parse_150,image_segmentation,finetune_transfer,image_segmentation,0,0,https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512,train,validation,1,client_1,0,oom,"OutOfMemoryError('HIP out of memory. Tried to allocate 4.69 GiB. GPU 0 has a total capacity of 15.92 GiB of which 0 bytes is free. Of the allocated memory 23.03 GiB is allocated by PyTorch, and 4.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",Find this run_id in outputs/run_manifest_results.csv: 24121123-e827-4d07-a241-f40cd716ecbb
run_id=04b56cad-e023-4145-a357-386902319cda,04b56cad-e023-4145-a357-386902319cda,2026-04-17 09:39:01,hf,detection,hf,facebook/detr-resnet-50,detection-datasets/coco,image_detection,inference_only,object_detection,0,0,https://huggingface.co/facebook/detr-resnet-50,train,val,1,client_1,0,runtime_error,RuntimeError('value cannot be converted to type int32 without overflow'),Find this run_id in outputs/run_manifest_results.csv: 04b56cad-e023-4145-a357-386902319cda
run_id=49f2d492-f0fe-4510-a828-bfaabf3bee16,49f2d492-f0fe-4510-a828-bfaabf3bee16,2026-04-17 09:37:42,hf,detection,hf_finetune,facebook/detr-resnet-50,detection-datasets/coco,image_detection,finetune_transfer,object_detection,0,0,https://huggingface.co/facebook/detr-resnet-50,train,val,1,client_1,0,runtime_error,RuntimeError('value cannot be converted to type int32 without overflow'),Find this run_id in outputs/run_manifest_results.csv: 49f2d492-f0fe-4510-a828-bfaabf3bee16
run_id=5e05b7ce-7683-4089-9d18-74519c320721,5e05b7ce-7683-4089-9d18-74519c320721,2026-04-17 09:37:10,hf,detection,hf,facebook/detr-resnet-50,rishitdagli/cppe-5,image_detection,inference_only,object_detection,0,0,https://huggingface.co/facebook/detr-resnet-50,train,test,1,client_1,0,runtime_error,RuntimeError('value cannot be converted to type int32 without overflow'),Find this run_id in outputs/run_manifest_results.csv: 5e05b7ce-7683-4089-9d18-74519c320721
run_id=f39f7c73-d28a-447b-bcab-4f75c2b696ee,f39f7c73-d28a-447b-bcab-4f75c2b696ee,2026-04-17 09:30:26,hf,detection,hf_finetune,facebook/detr-resnet-50,rishitdagli/cppe-5,image_detection,finetune_transfer,object_detection,0,0,https://huggingface.co/facebook/detr-resnet-50,train,test,1,client_1,0,runtime_error,RuntimeError('value cannot be converted to type int32 without overflow'),Find this run_id in outputs/run_manifest_results.csv: f39f7c73-d28a-447b-bcab-4f75c2b696ee
run_id=04e31c06-038d-411d-a2dd-5909ea595b2c,04e31c06-038d-411d-a2dd-5909ea595b2c,2026-04-17 09:25:10,hf,classification,hf,gpt2,wikitext,causal_lm_generation,inference_only,text_generation,0,0,https://huggingface.co/gpt2,train,validation,1,client_1,0,runtime_error,"RuntimeError('cannot reshape tensor of 0 elements into shape [-1, 0] because the unspecified dimension size -1 can be any value and is ambiguous')",Find this run_id in outputs/run_manifest_results.csv: 04e31c06-038d-411d-a2dd-5909ea595b2c
